stemid tag branch sp gx gy dbh status q100
002311.0 002311 0 MACHZU 4.62 300.39 30 A 4
002318.0 002318 0 MACHTH 0.29 302.28 32.7 A 4
002320.0 002320 0 CASTCU 1.8 303.29 30 A 4
002323.0 002323 0 ELAEJA 1.24 303.96 11.7 A 4
002324.0 002324 0 MACHTH 1.39 304.8 21.5 A 4
002327.0 002327 0 CASTCU 4.57 304.71 25.8 A 4
002330.0 002330 0 ENGERO 1.03 305.48 10.6 A 4
002332.0 002332 0 MELISQ 1.56 309.28 13.3 A 4
002333.0 002333 0 PYRESH 3.05 309.77 18.8 A 4
002334.0 002334 0 DIOSMO 2.57 309.5 9.7 A 4
002335.0 002335 0 CASTCU 3.02 308.36 42.5 A 4
002338.0 002338 0 DIOSMO 4.68 306.25 18 A 4
002347.0 002347 0 PYRESH 8.16 308.02 9.6 A 4
002353.0 002353 0 LITSAC 8.25 309.84 29.3 A 4
002357.0 002357 0 MELISQ 9.49 300.7 16.7 A 4
002363.0 002363 0 MYRSSE 8.47 301.59 11.3 A 4
002371.0 002371 0 PRUNPH 6.57 304.44 13.1 A 4
002376.0 002376 0 GORDAX 1.39 310.2 10.6 A 4
002377.0 002377 0 MACHZU 0.17 311.13 24 A 4
002384.0 002384 0 CASTCU 0.24 317.04 12.4 A 4
002386.0 002386 0 CINNMI 2.55 319.58 18.9 A 4
002387.0 002387 0 MACHTH 2.92 319.94 22.1 A 4
002388.0 002388 0 RANDCO 3.35 315.75 12.5 A 4
002391.0 002391 0 CASTCU 7.1 315.96 15.3 A 4
002394.0 002394 0 MACHMU 9.5 317.33 14.8 A 4
002396.0 002396 0 MACHZU 8.64 315.25 12.5 A 4
002399.0 002399 0 MELISQ 9.59 312.33 21 A 4
002408.0 002408 0 SCHEOC 7.15 314.88 14.6 A 4
002413.0 002413 0 DIOSMO 13.39 312.13 30.7 A 4
002422.0 002422 0 MELISQ 12.54 316.81 19.2 A 4
002426.0 002426 0 CASTCU 13.4 316.98 16.7 A 4
002427.0 002427 0 RANDCO 13.19 316.56 14.1 A 4
002428.0 002428 0 RANDCO 13.83 318.83 11 A 4
002433.0 002433 0 CINNSU 17.1 316.96 37.8 A 4
002435.0 002435 0 RANDCO 17.41 319.51 14 A 4
002440.0 002440 0 CASTCU 18.83 311.96 31.1 A 4
002444.0 002444 0 MYRSSE 17.42 312.38 16.9 A 4
002450.0 002450 0 CLEYJA 10.38 300.55 10.3 A 4
002451.0 002451 0 MELISQ 11.53 300.79 27.4 A 4
002456.0 002456 0 PYRESH 10.22 303.43 13.3 A 4
002457.0 002457 0 MYRSSE 12.95 303.73 10.3 A 4
002464.0 002464 0 MYRSSE 14.54 304.97 13.9 A 4
002465.0 002465 0 SYMPGL 14.57 304.41 10 A 4
002468.0 002468 0 MYRSSE 14.7 301.66 10.1 A 4
002470.0 002470 0 CASTCU 14.13 301.16 21.2 A 4
002474.0 002474 0 MYRSSE 11.15 305.29 15.3 A 4
002475.0 002475 0 CASTCU 10.96 305.95 10.8 A 4
002476.0 002476 0 MELISQ 11.39 306.33 18.9 A 4
002481.0 002481 0 PYRESH 13.55 309.34 17.9 A 4
002490.0 002490 0 PYRESH 14.71 306.06 10.7 A 4
002491.0 002491 0 LITSAC 14.01 305.83 10.7 A 4
002495.0 002495 0 ENGERO 15.42 307.03 11.6 A 4
002500.0 002500 0 PYRESH 18.6 308.89 12.4 A 4
002502.0 002502 0 CINNAU 19.27 307.07 10.6 A 4
002506.0 002506 0 DIOSMO 19.5 305.41 55.9 A 4
002513.0 002513 0 MYRSSE 19.78 303.97 12.6 A 4
002515.0 002515 0 CRYPCH 4.48 320.22 12.7 A 4
002525.0 002525 0 MELISQ 3.67 324.67 9.8 A 4
002537.0 002537 0 ENGERO 5.16 326.19 34.6 A 4
002543.0 002543 0 MACHTH 8.98 329.82 27.3 A 4
002545.0 002545 0 CASTCU 7.61 324.56 11.4 A 4
002546.0 002546 0 PYRESH 9.84 322.1 18.3 A 4
002548.0 002548 0 MACHTH 6.85 320.31 15.6 A 4
002556.0 002556 0 CLEYJA 0.58 330.57 12.8 A 4
002557.0 002557 0 MELISQ 0.25 331.32 33.3 A 4
002559.0 002559 0 DIOSMO 0.17 332.82 54.9 A 4
002570.0 002570 0 LIMLUR 4.55 330.51 26.3 A 4
002573.0 002573 0 CLEYJA 1.42 336.71 20.7 A 4
002574.0 002574 0 CLEYJA 1.26 336.53 13.2 A 4
002580.0 002580 0 LITSAC 0.71 337.11 12.5 A 4
002587.0 002587 0 SYMPTH 9.47 338.73 19.3 A 4
002589.0 002589 0 CLEYJA 8.54 338.5 14.6 A 4
002591.0 002591 0 MELISQ 9.14 336.33 23 A 4
002592.0 002592 0 MACHMU 5.7 337.06 13.3 A 4
002603.0 002603 0 RANDCO 11.88 334.87 16.6 A 4
002605.0 002605 0 ENGERO 12.55 332.4 15.9 A 4
002606.0 002606 0 MACHMU 12.54 331.64 17.2 A 4
002612.0 002612 0 CLEYJA 12.65 335.15 14.7 A 4
002613.0 002613 0 CASTCU 12.93 335.61 26.1 A 4
002617.0 002617 0 MELISQ 12.66 337.68 13.5 A 4
002623.0 002623 0 MELISQ 13.53 338.89 11.3 A 4
002624.0 002624 0 CLEYJA 14.08 339.41 16 A 4
002627.0 002627 0 ENGERO 13.27 338 12.7 A 4
002633.0 002633 0 MACHMU 19.21 339.02 43 A 4
002636.0 002636 0 PYRESH 17.86 335.82 14.1 A 4
002639.0 002639 0 PYRESH 15.9 333.68 28 A 4
002642.0 002642 0 CASTCU 16.74 331.5 23.9 A 4
002645.0 002645 0 CASTCU 11.44 321.29 17.7 A 4
002646.0 002646 0 MACHTH 11.02 321.72 12.7 A 4
002647.0 002647 0 LITSAC 10.49 322.04 35.7 A 4
002652.0 002652 0 CASTCU 13.06 323.12 30.5 A 4
002658.0 002658 0 PYRESH 10.41 328.8 19.7 A 4
002659.0 002659 0 PYRESH 11.78 329.81 12.8 A 4
002661.0 002661 0 ENGERO 13.37 329.55 10.5 A 4
002664.0 002664 0 SCHEOC 12.74 328.6 12.9 A 4
002669.0 002669 0 PYRESH 15.42 326.3 11.2 A 4
002671.0 002671 0 MACHTH 16.47 326.93 21.2 A 4
002673.0 002673 0 MACHTH 19.42 324.97 12.2 A 4
002675.0 002675 0 CASTCU 16.06 324.66 30.9 A 4
002676.0 002676 0 CASTCU 0.63 344.5 36.2 A 4
002689.0 002689 0 HELIFO 3.66 346.6 11.4 A 4
002702.0 002702 0 CINNMI 6.85 348.57 9.8 A 4
002706.0 002706 0 DIOSMO 9.23 347.74 10.1 A 4
002717.0 002717 0 GLOCAC 9.69 345.31 9.6 A 4
002720.0 002720 0 MELISQ 1.73 350.89 27.4 A 4
002736.0 002736 0 ENGERO 0.18 356.79 10.4 A 4
002743.0 002743 0 CINNMI 6.47 357.34 25.4 A 4
002749.0 002749 0 CINNSU 9.42 357.55 10.8 A 4
002753.0 002753 0 GLOCAC 5.05 350.86 13.6 A 4
002759.0 002759 0 ENGERO 9.72 353.36 39 A 4
002761.0 002761 0 LIMLUR 9.86 352.11 20.6 A 4
002763.0 002763 0 LIMLUR 9.61 350.82 41.2 A 4
002770.0 002770 0 DIOSMO 10.01 354.43 26.5 A 4
002776.0 002776 0 ENGERO 12.42 356.35 24.2 A 4
002777.0 002777 0 WENDFO 10.39 357.91 10 A 4
002790.0 002790 0 CINNSU 15.45 359 17 A 4
002800.0 002800 0 RANDCO 19.77 357.2 13.4 A 4
002811.0 002811 0 CASTCU 16.27 354.78 10.1 A 4
002812.0 002812 0 MELISQ 18.43 354.9 18.8 A 4
002816.0 002816 0 LIMLUR 18.44 352.84 22 A 4
002829.0 002829 0 PYRESH 13.59 344.37 19.1 A 4
002833.0 002833 0 CASTCU 10.95 347.64 29.8 A 4
002838.0 002838 0 OSMAMA 14.28 348.39 13 A 4
002842.0 002842 0 DIOSMO 15.7 347.06 13.9 A 4
002843.0 002843 0 MELISQ 16 347.42 22 A 4
002844.0 002844 0 DIOSMO 15.49 348.35 15.1 A 4
002849.0 002849 0 PYRESH 19.77 345.85 18.9 A 4
002853.0 002853 0 RANDCO 17.18 345.11 10 A 4
002874.0 002874 0 PYRESH 4.89 364.87 13.2 A 4
002887.0 002887 0 MACHMU 3.13 366.05 30.3 A 4
002896.0 002896 0 MACHTH 9.57 367.04 29.3 A 4
002899.0 002899 0 SCHEOC 9.47 362.3 12.6 A 4
002908.0 002908 0 WENDFO 3.96 374.4 18.9 A 4
002913.0 002913 0 ENGERO 3.93 372.94 52.8 A 4
002914.0 002914 0 CASTCU 3.7 372.74 21.5 A 4
002918.0 002918 0 LITSAC 4.51 371.06 15.5 A 4
002927.0 002927 0 WENDFO 8.4 377.78 13.6 A 4
002928.0 002928 0 PYRESH 8.19 377.58 22.3 A 4
002933.0 002933 0 ENGERO 7.96 371.15 50.1 A 4
002934.0 002934 0 CASTCU 8.81 371.56 10.6 A 4
002946.0 002946 0 WENDFO 14.07 373.83 23.5 A 4
002953.0 002953 0 ADINFO 10.69 378.09 13.5 A 4
002957.0 002957 0 ENGERO 14.4 377.79 49.2 A 4
002958.0 002958 0 SYMPTH 14.03 376.52 9.6 A 4
002968.0 002968 0 CASTCU 15.66 374.37 31.9 A 4
002969.0 002969 0 MACHTH 15.35 374.61 15.9 A 4
002975.0 002975 0 MELISQ 18.46 371.33 10.4 A 4
002976.0 002976 0 MACHZU 19.11 371.42 85.5 A 4
002978.0 002978 0 MALLPA 13.35 361.72 26.3 A 4
002987.0 002987 0 ENGERO 11.12 366.43 11.1 A 4
002996.0 002996 0 CRYPCH 15.41 366.87 31 A 4
003000.0 003000 0 ENGERO 15.22 367.88 43.5 A 4
003002.0 003002 0 ENGERO 16.1 366.8 40.5 A 4
003009.0 003009 0 ENGERO 18.81 366.7 21.7 A 4
003015.0 003015 0 PRUNPH 17.93 364.61 15.8 A 4
003022.0 003022 0 ENGERO 3.25 389.09 35.9 A 4
003031.0 003031 0 LAGESU 7.78 388.72 18.4 A 4
003036.0 003036 0 MACHZU 6.16 383.16 41.7 A 4
003040.0 003040 0 RANDCO 6.46 381.86 12.3 A 4
003047.0 003047 0 LITSAC 4.6 390.91 42.1 A 4
003048.0 003048 0 SCHEOC 4.98 390.95 56 A 4
003050.0 003050 0 CYCLGI 4.98 390.27 51.1 A 4
003070.0 003070 0 CASTCU 13.74 399.94 37.5 A 4
003073.0 003073 0 MACHZU 16.57 395.15 67.4 A 4
003084.0 003084 0 EURYLO 16.37 391.2 12.3 A 4
003086.0 003086 0 GLOCAC 13.97 380.3 20.4 A 4
003100.0 003100 0 CASTCU 19.52 380.32 26.8 A 4
007595.0 007595 0 ENGERO 0.16 310.86 14.3 A 4
011992.0 011992 0 ELAESY 23.87 300.32 11.7 A 4
011993.0 011993 0 MELISQ 23.22 300.38 25.6 A 4
012008.0 012008 0 ENGERO 23.37 308.43 10.3 A 4
012009.0 012009 0 CYCLGI 23.99 306.36 16.7 A 4
012012.0 012012 0 CASTCU 25.11 307.04 13.6 A 4
012015.0 012015 0 CINNMI 25.38 309.65 15.8 A 4
012023.0 012023 0 MACHTH 28.64 305.31 13.3 A 4
012039.0 012039 0 ELAESY 27.58 302.24 12 A 4
012042.0 012042 0 GLOCAC 27.65 300.84 26.8 A 4
012044.0 012044 0 SCHEOC 20.34 311.13 11.6 A 4
012048.0 012048 0 CLEYJA 24.38 311.39 17 A 4
012049.0 012049 0 CASTCU 24 311.53 20.7 A 4
012051.0 012051 0 MACHTH 23.6 311.7 13.6 A 4
012052.0 012052 0 PYRESH 21.93 316.06 26.7 A 4
012060.0 012060 0 MACHZU 28 317.55 13.1 A 4
012064.0 012064 0 CLEYJA 28.87 313.56 14.3 A 4
012068.0 012068 0 GLOCAC 29.86 314.47 12.5 A 4
012072.0 012072 0 PYRESH 27.79 310.32 11.6 A 4
012073.0 012073 0 MACHTH 26.31 310.86 17.3 A 4
012077.0 012077 0 ELAEJA 30.22 311.22 11.4 A 4
012078.0 012078 0 DIOSMO 30.51 311.32 18.7 A 4
012081.0 012081 0 SYMPGL 30.92 310.13 14.1 A 4
012088.0 012088 0 PRUNPH 33.18 312.92 9.8 A 4
012089.0 012089 0 MACHZU 31.97 313.49 24.5 A 4
012092.0 012092 0 PRUNPH 30.58 314.48 15.6 A 4
012093.0 012093 0 DIOSMO 32.31 315.91 14.5 A 4
012095.0 012095 0 ELAEJA 30.52 316.37 15.8 A 4
012106.0 012106 0 MELISQ 34.16 315.91 18.6 A 4
012113.0 012113 0 CLEYJA 37.24 318.66 16.1 A 4
012114.0 012114 0 MACHTH 37 319.1 21.3 A 4
012116.0 012116 0 RANDCO 39.46 316.03 13 A 4
012117.0 012117 0 MELISQ 39.11 316.74 18.1 A 4
012119.0 012119 0 CLEYJA 35.46 310.58 14.1 A 4
012123.0 012123 0 MYRSSE 38.16 314.54 15.2 A 4
012127.0 012127 0 MELISQ 39.69 310.75 13.1 A 4
012140.0 012140 0 LITSAC 35.96 308.89 30.7 A 4
012146.0 012146 0 DIOSMO 30.82 306.12 16.6 A 4
012149.0 012149 0 MACHTH 32.24 307.75 20.8 A 4
012151.0 012151 0 MACHMU 33.16 308.12 11 A 4
012167.0 012167 0 CASTCU 35.35 308.43 16.9 A 4
012181.0 012181 0 RANDCO 38.96 302.2 12.4 A 4
012185.0 012185 0 MACHTH 37.64 302.08 10.1 A 4
012191.0 012191 0 LITSAC 23.56 322.61 24 A 4
012194.0 012194 0 DIOSMO 22.96 327.51 21.7 A 4
012199.0 012199 0 GLOCAC 24.77 325.62 18.5 A 4
012200.0 012200 0 LITSAC 29.21 327.58 27 A 4
012204.0 012204 0 ADINFO 29.33 328.11 12.7 A 4
012206.0 012206 0 MACHTH 29.65 326.03 14.4 A 4
012208.0 012208 0 SYMPTH 29.72 322.95 11.7 A 4
012212.0 012212 0 LIMLUR 27.37 321.53 38.4 A 4
012214.0 012214 0 MACHMU 20.04 330.55 14 A 4
012216.0 012216 0 ADINFO 22.51 330.66 16.1 A 4
012223.0 012223 0 LIMLUR 23.2 335.86 29.7 A 4
012228.0 012228 0 DIOSMO 20.89 338.35 31.9 A 4
012237.0 012237 0 CASTCU 27.2 337.38 26.3 A 4
012240.0 012240 0 CASTCU 25.19 339.74 25.5 A 4
012241.0 012241 0 CASTCU 26.22 339.4 43.5 A 4
012245.0 012245 0 ELAEJA 29.89 339.58 11.5 A 4
012247.0 012247 0 CLEYJA 26.68 330.28 16.9 A 4
012250.0 012250 0 MACHTH 26.24 332.25 9.6 A 4
012253.0 012253 0 SYMPTH 25.3 334.29 12.1 A 4
012254.0 012254 0 ADINFO 26.12 333.13 9.6 A 4
012257.0 012257 0 LIMLUR 30.78 332.03 31 A 4
012262.0 012262 0 LIMLUR 33.77 333.41 50.3 A 4
012268.0 012268 0 ENGERO 31.3 338.53 17.5 A 4
012270.0 012270 0 ENGERO 37 335.36 20.2 A 4
012273.0 012273 0 SCHEOC 37.34 339.3 11.7 A 4
012277.0 012277 0 PYRESH 39.57 334.07 14.4 A 4
012280.0 012280 0 ENGERO 39.31 330.65 30.8 A 4
012281.0 012281 0 CASTCU 32.51 320.64 40.5 A 4
012282.0 012282 0 GLOCAC 31.37 320.82 11.1 A 4
012285.0 012285 0 ENGERO 34.01 322.16 22 A 4
012288.0 012288 0 PYRESH 34.6 321.25 14.6 A 4
012289.0 012289 0 CYCLGI 34.74 321.35 10.2 A 4
012290.0 012290 0 ENGERO 30.36 326.19 19.7 A 4
012295.0 012295 0 DIOSMO 35.69 327.65 15.3 A 4
012296.0 012296 0 MACHMU 37.69 328.93 16.9 A 4
012298.0 012298 0 MELISQ 36.57 322.24 23 A 4
012299.0 012299 0 ENGERO 37.28 322.34 26.7 A 4
012301.0 012301 0 ENGERO 36.77 320.58 18 A 4
012302.0 012302 0 MELISQ 20.45 341.84 35.8 A 4
012307.0 012307 0 LIMLUR 20.65 343.51 60.1 A 4
012309.0 012309 0 SYMPTH 21.94 344.97 15.3 A 4
012319.0 012319 0 CASTCU 20.01 346.79 9.6 A 4
012320.0 012320 0 MELISQ 20.48 348.4 11.1 A 4
012331.0 012331 0 PYRESH 25.41 346.12 11 A 4
012332.0 012332 0 CLEYJA 25.39 346.93 19.6 A 4
012335.0 012335 0 RANDCO 29.11 348.16 12.1 A 4
012336.0 012336 0 MELISQ 29.35 347.1 16.9 A 4
012342.0 012342 0 PYRESH 26.97 345.64 9.9 A 4
012343.0 012343 0 DIOSMO 26.68 345.27 18.5 A 4
012353.0 012353 0 LITSAC 31.33 340.42 20.8 A 4
012366.0 012366 0 MELISQ 23.74 352.03 31 A 4
012368.0 012368 0 SCHEOC 24.57 351.05 26.1 A 4
012370.0 012370 0 LIMLUR 24.82 350.99 49.1 A 4
012379.0 012379 0 MACHZU 21.43 356.43 35.6 A 4
012380.0 012380 0 PASAHR 20.92 358.01 29.9 A 4
012387.0 012387 0 PYRESH 25.92 356.33 14.9 A 4
012391.0 012391 0 CLEYJA 28.69 357.55 19 A 4
012392.0 012392 0 CYCLLO 28.5 357.95 17 A 4
012394.0 012394 0 MACHTH 26.93 350.96 9.9 A 4
012397.0 012397 0 MACHTH 26.12 353.28 13.4 A 4
012400.0 012400 0 LIMLUR 30.79 350.84 15.2 A 4
012405.0 012405 0 GLOCAC 32.88 353.02 11 A 4
012412.0 012412 0 WENDFO 34.23 356.74 13.7 A 4
012419.0 012419 0 ELAEJA 35.68 350.58 13.1 A 4
012420.0 012420 0 ENGERO 36.68 350.66 22 A 4
012424.0 012424 0 CYCLGI 38.39 354.26 22.3 A 4
012425.0 012425 0 TRICDU 38.57 354.02 10.5 A 4
012431.0 012431 0 MELISQ 32.07 340.25 15.8 A 4
012437.0 012437 0 CASTCU 32.76 343.86 19.3 A 4
012456.0 012456 0 ELAEJA 33.39 347.4 13.9 A 4
012458.0 012458 0 PYRESH 34.13 347.35 19 A 4
012461.0 012461 0 CINNSU 33.97 345.86 41.2 A 4
012465.0 012465 0 MACHTH 34.58 345.08 10.9 A 4
012473.0 012473 0 PRUNPH 37.49 346.47 19.1 A 4
012484.0 012484 0 ELAESY 39.25 342.34 21.8 A 4
012486.0 012486 0 LITSAC 39.33 341.06 25.3 A 4
012487.0 012487 0 CASTCU 20.78 360.34 27.3 A 4
012490.0 012490 0 MELISQ 20.18 361.74 11.1 A 4
012493.0 012493 0 MACHTH 21.57 364.23 16.5 A 4
012494.0 012494 0 WENDFO 21.71 364.41 13.7 A 4
012497.0 012497 0 CASTCU 24.18 364.43 27.3 A 4
012502.0 012502 0 MACHTH 22.1 367.74 46.1 A 4
012505.0 012505 0 ENGERO 21.81 368.69 16.4 A 4
012506.0 012506 0 ENGERO 22.3 369.14 10.8 A 4
012509.0 012509 0 MELISQ 20.89 369.43 33.4 A 4
012515.0 012515 0 CINNMI 24.28 366.91 10.9 A 4
012525.0 012525 0 PYRESH 28.97 369.33 28.3 A 4
012526.0 012526 0 SCHEOC 29.44 365.86 39 A 4
012528.0 012528 0 PYRESH 29.57 365.27 28.6 A 4
012531.0 012531 0 ENGERO 29.1 364.23 15.3 A 4
012534.0 012534 0 PYRESH 21 370.68 13.5 A 4
012538.0 012538 0 ENGERO 21.5 371.55 32.4 A 4
012543.0 012543 0 ENGERO 20.09 373.68 20.9 A 4
012565.0 012565 0 GLOCAC 36.37 376.16 13.2 A 4
012568.0 012568 0 MACHJA 38.9 370.88 10.2 A 4
012573.0 012573 0 ENGERO 31.2 362.51 20.5 A 4
012575.0 012575 0 HELIFO 33.02 362.89 13 A 4
012582.0 012582 0 PYRESH 34.28 364.34 19.9 A 4
012601.0 012601 0 MACHMU 38.4 360.38 23.3 A 4
012613.0 012613 0 WENDFO 23.79 387.92 19.6 A 4
012615.0 012615 0 MACHTH 23.93 386.91 36.9 A 4
012616.0 012616 0 CINNMI 24.34 389.87 14.7 A 4
012629.0 012629 0 TURPFO 24.77 393.86 10 A 4
012631.0 012631 0 MACHJA 21.9 392.28 41.8 A 4
012640.0 012640 0 LAGESU 29.07 399.24 16.3 A 4
012643.0 012643 0 CASTCU 34.33 393.35 49.2 A 4
